2024-06-21 10:10:58 Server Started
2024-06-21 10:10:58 Handler Created in /Users/braxtonhardman/webdav-server
2024-06-21 10:10:58 WebDAV server listening on: 0.0.0.0:8080
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:26 Method PROPFIND from address 192.168.1.158:53786
2024-06-21 10:11:27 Method GET from address 192.168.1.158:53786
2024-06-21 10:11:27 Method GET from address 192.168.1.158:53787
2024-06-21 10:23:37 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:37 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:38 Method GET from address 192.168.1.158:53787
2024-06-21 10:23:52 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:52 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:52 Method GET from address 192.168.1.158:53787
2024-06-21 10:23:52 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method LOCK from address 192.168.1.158:53787
2024-06-21 10:23:56 Method GET from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PUT from address 192.168.1.158:53787
2024-06-21 10:23:56 Method UNLOCK from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:23:56 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:24:25 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:38:09 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:44:15 Method PROPFIND from address 192.168.1.158:53787
2024-06-21 10:44:15 Method PROPFIND from address 192.168.1.158:53787
